awsCategory,Code,Name,Summary,URL
Foundational,ADV 150,Introduction to Advertising,"Introduction to the practice and profession of advertising. Course material covers various functional areas of advertising and integrated brand promotion, including account planning, creative, media… (more on Explorer) Taught by Steve Hall. Earn Gen Ed credit (social & beh sci; social sci). You might also like: ADV 175, 199, 310, 392, 400.",https://courses.illinois.edu/schedule/2023/fall/ADV/150
Foundational,ADV 175,Diversity in Advertising,"This course examines the multifaceted role diversity (including racial, gender, orientation, ability status) plays in the delivery and reception of advertising. Additionally, it examines the development of… (more on Explorer) Taught by Dr. Jason Chambers. Earn Gen Ed credit (cultural studies - US minority). You might also like: ADV 150, 199, 212, 290, 311.",https://courses.illinois.edu/schedule/2023/fall/ADV/175
Foundational,ADV 199,The Communications Industry,"This course covers various topics to help students learn more about the communication industry, with an emphasis on the organizations, people and practices that make things happen in advertising, PR, journalism and media... (more in Explorer) Restricted to freshmen in the Weston Exploration program. You may also like: ADV 150, 175, 270, 392, 409.",https://courses.illinois.edu/schedule/2023/fall/ADV/199
Foundational,ADV 200,Data Literacy,,https://courses.illinois.edu/schedule/2023/spring/ADV/200
Foundational,ADV 212,Advertising History,,
Social,ADV 201,Social Media and Personal Branding,"Creating a personal brand is vital to social media influencers, student athletes and online celebrities. This course focuses on practical strategies for building a strong personal brand on social media for career advancement and social influence... (more on Explorer) Taught by Dr. Sang-Hwa Oh. You may also like: ADV 150, 200, 290, 301, 305.",https://courses.illinois.edu/schedule/2023/fall/ADV/201
Social,ADV 290,Social Media & Social Justice,"An interactive course that introduces students to the complex dynamic between innovative social movements and social media technologies... (more on Explorer) Taught by Carrie Wilson-Brown and Susan Muirhead. Eligible for the PR minor. You may also like: ADV 175, 201, 301, 305, 491.",https://courses.illinois.edu/schedule/2023/fall/ADV/290
Social,ADV 301,Becoming an Influencer,"Explores the everyday impact the influencer economy has on our purchasing decisions, political engagement, and social activism. This new celebrity class illustrates the critical importance…(more on Explorer) Taught by Carrie Wilson-Brown. Eligible for the PR minor. You may also like: ADV 175, 290, 301, 480, 491.",https://courses.illinois.edu/schedule/2023/fall/ADV/301
Social,ADV 491,Digital Content and Social Media Management,"Application of analytical planning concepts to advertising planning, decision making, and managing social media accounts. Covers all of the decision making areas of advertising and social media management... (more on Explorer) Taught by August Schiess. You may also like: ADV 201, 290 (Social Media & Social Justice), 301, 480, 490 (Digital Portfolio).",https://courses.illinois.edu/schedule/2023/fall/ADV/491
Social,ADV 480,Social Media Analytics,,https://courses.illinois.edu/schedule/2023/fall/ADV/480
Media,ADV 392,Advertising Immersion,"Covers a variety of topics designed to help students learn more about, and be better prepared to enter, the advertising industry as professionals. Meets with ADV 490: Amazon Adv Experience this fall. (more on Explorer) You may also like: ADV 199, 290, 305, 409, 490.",https://courses.illinois.edu/schedule/2023/fall/ADV/392
